,Customer_ID,Age,AnnualIncome,Account_Balance,CreditScore,Tenure,City,Segment,Channel,datetime,Active,RiskLevel,MonthlySpend,Transactions,SatisfactionScore,Income_Lakhs,MonthlyIncome,Income_After_Spending,Balance_Income_Ratio
0,101317,55,44033,44033,772,3,Bangalore,SME,Agent,2022-08-15 00:00:00,Yes,Low,23066,135,3.1,0.44033,3669.4166666666665,-19396.583333333332,1.0
1,101001,32,215546,215546,374,8,Delhi,Retail,Agent,2025-01-11 00:00:00,Yes,High,24646,106,8.2,2.15546,17962.166666666668,-6683.833333333332,1.0
2,101069,23,226403,226403,668,12,Chennai,Premium,Agent,2024-08-01 00:00:00,No,Medium,28536,146,6.3,2.26403,18866.916666666668,-9669.083333333332,1.0
3,101968,66,87824,87824,315,14,Mumbai,Premium,Agent,2021-05-15 00:00:00,Yes,High,12869,115,9.7,0.87824,7318.666666666667,-5550.333333333333,1.0
4,100530,67,31570,31570,370,4,bangalore,Retail,Agent,2026-02-03 00:00:00,No,High,34163,94,3.7,0.3157,2630.8333333333335,-31532.166666666668,1.0
5,101334,68,37087,37087,738,1,Chennai,Premium,Agent,2023-06-04 00:00:00,Yes,Low,15121,6,8.5,0.37087,3090.5833333333335,-12030.416666666666,1.0
6,100415,47,67229,67229,464,4,Chennai,Retail,Online,2024-01-16 00:00:00,Yes,High,17655,31,2.8,0.67229,5602.416666666667,-12052.583333333332,1.0
7,100983,65,139999,139999,554,15,Kolkata,SME,Agent,2024-06-26 00:00:00,Yes,Medium,1720,139,9.7,1.39999,11666.583333333334,9946.583333333334,1.0
8,100417,63,153267,153267,508,5,Hyderabad,Premium,Mobile,2025-03-12 00:00:00,Yes,High,38043,76,7.1,1.53267,12772.25,-25270.75,1.0
9,101472,42,139999,139999,556,3,Kolkata,Corporate,Mobile,2021-10-07 00:00:00,Yes,Medium,11472,124,9.1,1.39999,11666.583333333334,194.58333333333394,1.0
10,101525,47,178741,178741,341,1,Hyderabad,Retail,Mobile,2023-03-02 00:00:00,Yes,High,24646,78,5.6,1.78741,14895.083333333334,-9750.916666666666,1.0
11,101576,25,93673,93673,477,13,Bangalore,Premium,Online,2025-11-22 00:00:00,Yes,High,24777,56,8.1,0.93673,7806.083333333333,-16970.916666666668,1.0
12,100252,66,108309,108309,643,10,Chennai,Corporate,Mobile,2021-06-25 00:00:00,No,Medium,9746,15,3.9,1.08309,9025.75,-720.25,1.0
13,101622,22,106816,106816,542,4,Kolkata,Premium,Mobile,2025-11-19 00:00:00,Yes,High,32337,66,3.1,1.06816,8901.333333333334,-23435.666666666664,1.0
14,100071,52,139999,139999,443,13,,Premium,Branch,2025-08-26 00:00:00,Yes,High,48482,18,9.1,1.39999,11666.583333333334,-36815.416666666664,1.0
15,101107,45,53671,53671,693,4,Pune,SME,Agent,2024-05-05 00:00:00,No,Medium,49870,31,4.4,0.53671,4472.583333333333,-45397.416666666664,1.0
16,101363,27,192132,192132,746,12,Kolkata,SME,Agent,2022-01-07 00:00:00,No,Low,7111,110,9.1,1.92132,16011.0,8900.0,1.0
17,100351,53,108186,108186,314,0,Hyderabad,Corporate,Mobile,2022-05-25 00:00:00,,High,24056,121,9.2,1.08186,9015.5,-15040.5,1.0
18,101392,53,193933,193933,315,9,,Retail,Agent,2022-10-07 00:00:00,Yes,High,32432,95,9.3,1.93933,16161.083333333334,-16270.916666666666,1.0
19,101088,64,175949,175949,701,1,Hyderabad,Premium,Agent,2023-08-10 00:00:00,No,Low,19941,118,7.5,1.75949,14662.416666666666,-5278.583333333334,1.0
20,100066,64,158541,158541,725,4,Mumbai,SME,Agent,,Yes,Low,21272,43,4.4,1.58541,13211.75,-8060.25,1.0
21,100980,47,103213,103213,760,8,Bangalore,Corporate,Branch,2022-02-13 00:00:00,No,Low,2808,64,9.6,1.03213,8601.083333333334,5793.083333333334,1.0
22,100125,34,206264,206264,311,14,Hyderabad,SME,Online,2025-04-23 00:00:00,Yes,High,37670,128,9.8,2.06264,17188.666666666668,-20481.333333333332,1.0
23,101269,55,185811,185811,762,9,Delhi,SME,Agent,2021-11-17 00:00:00,No,Low,13856,57,9.6,1.85811,15484.25,1628.25,1.0
24,101682,53,154951,154951,397,7,Pune,Retail,Agent,2025-03-06 00:00:00,Yes,High,3974,132,6.1,1.54951,12912.583333333334,8938.583333333334,1.0
25,101316,68,133777,133777,355,9,Chennai,SME,Branch,2026-03-02 00:00:00,Yes,High,11725,74,6.6,1.33777,11148.083333333334,-576.9166666666661,1.0
26,100544,40,160542,160542,597,2,Kolkata,Retail,Agent,2022-06-21 00:00:00,Yes,Medium,20975,18,8.9,1.60542,13378.5,-7596.5,1.0
27,100874,47,116878,116878,674,1,Kolkata,Corporate,Mobile,2023-04-30 00:00:00,NO,Medium,5694,75,5.595907928388747,1.16878,9739.833333333334,4045.833333333334,1.0
28,101492,70,206129,206129,747,13,Bangalore,Retail,Online,2024-09-13 00:00:00,Yes,Low,33012,129,6.6,2.06129,17177.416666666668,-15834.583333333332,1.0
29,101944,73,51649,51649,485,11,Hyderabad,Retail,Online,2025-11-11 00:00:00,,High,5388,45,2.0,0.51649,4304.083333333333,-1083.916666666667,1.0
30,101621,64,125417,125417,487,10,Pune,Retail,Agent,2024-06-02 00:00:00,Yes,High,15808,80,8.2,1.25417,10451.416666666666,-5356.583333333334,1.0
31,100375,65,104561,104561,433,1,Delhi,Corporate,Branch,2021-01-31 00:00:00,Yes,High,12395,14,5.7,1.04561,8713.416666666666,-3681.583333333334,1.0
32,101248,23,170643,170643,503,3,Hyderabad,SME,Agent,2024-04-20 00:00:00,No,High,18854,76,6.5,1.70643,14220.25,-4633.75,1.0
33,100213,18,139999,139999,524,14,Hyderabad,Retail,Agent,2025-04-10 00:00:00,No,High,39000,80,5.595907928388747,1.39999,11666.583333333334,-27333.416666666664,1.0
34,100945,27,143947,143947,554,9,Delhi,Retail,Online,2023-08-04 00:00:00,Yes,Medium,42573,16,5.595907928388747,1.43947,11995.583333333334,-30577.416666666664,1.0
35,100325,66,169701,169701,429,9,Mumbai,Corporate,Branch,2023-08-27 00:00:00,No,High,17572,128,3.9,1.69701,14141.75,-3430.25,1.0
36,100030,29,139999,139999,389,3,Chennai,SME,Mobile,2024-12-07 00:00:00,Yes,High,24646,64,1.0,1.39999,11666.583333333334,-12979.416666666666,1.0
37,101836,25,151498,151498,805,3,Delhi,Retail,Agent,2021-07-22 00:00:00,Yes,Low,37514,111,2.9,1.51498,12624.833333333334,-24889.166666666664,1.0
38,100781,18,90108,90108,377,6,Hyderabad,Retail,Online,2024-03-24 00:00:00,Yes,High,18323,78,6.5,0.90108,7509.0,-10814.0,1.0
39,100290,46,239941,239941,820,14,Mumbai,Premium,Branch,2021-05-12 00:00:00,Yes,Low,4394,7,5.0,2.39941,19995.083333333332,15601.083333333332,1.0
40,101264,34,204761,204761,432,8,Chennai,Retail,Branch,2021-11-18 00:00:00,No,High,2794,38,7.9,2.04761,17063.416666666668,14269.416666666668,1.0
41,100496,42,206180,206180,829,6,Bangalore,Retail,Branch,2025-07-11 00:00:00,No,Low,5019,76,5.3,2.0618,17181.666666666668,12162.666666666668,1.0
42,100271,21,64499,64499,845,12,chennai,Premium,Agent,2022-03-10 00:00:00,Yes,Low,42189,98,6.4,0.64499,5374.916666666667,-36814.083333333336,1.0
43,100965,25,56822,56822,661,0,chennai,Premium,Branch,2023-08-22 00:00:00,Yes,Medium,23395,88,5.1,0.56822,4735.166666666667,-18659.833333333332,1.0
44,100353,57,187962,187962,791,7,Pune,Retail,Agent,2022-01-25 00:00:00,No,Low,19727,111,8.0,1.87962,15663.5,-4063.5,1.0
45,100101,33,169059,169059,639,15,Pune,Retail,Mobile,2024-10-04 00:00:00,Yes,Medium,24646,148,6.1,1.69059,14088.25,-10557.75,1.0
46,100737,33,139999,139999,836,7,Hyderabad,Retail,Mobile,2024-09-02 00:00:00,Yes,Low,803,13,9.8,1.39999,11666.583333333334,10863.583333333334,1.0
47,100255,45,131661,131661,452,6,Delhi,Corporate,Branch,2025-07-30 00:00:00,Yes,High,49132,85,9.5,1.31661,10971.75,-38160.25,1.0
48,101423,21,109045,109045,671,9,Bangalore,Retail,Branch,2022-08-13 00:00:00,No,Medium,24646,62,8.1,1.09045,9087.083333333334,-15558.916666666666,1.0
49,100586,29,216648,216648,360,0,Pune,Premium,Branch,2025-11-27 00:00:00,Yes,High,45983,103,6.8,2.16648,18054.0,-27929.0,1.0
50,100553,51,135677,135677,835,6,Bangalore,Premium,Agent,2021-08-18 00:00:00,No,Low,3114,132,5.9,1.35677,11306.416666666666,8192.416666666666,1.0
51,100744,56,135641,135641,456,2,kolkata,Corporate,Online,2023-11-13 00:00:00,No,High,19483,141,9.6,1.35641,11303.416666666666,-8179.583333333334,1.0
52,100057,31,239696,239696,677,2,Bangalore,value,Branch,2022-12-06 00:00:00,YES,Medium,47955,115,7.7,2.39696,19974.666666666668,-27980.333333333332,1.0
53,100394,68,139225,139225,478,15,Pune,Premium,Branch,2022-06-28 00:00:00,Yes,High,17597,84,1.2,1.39225,11602.083333333334,-5994.916666666666,1.0
54,101365,27,172159,172159,831,4,Bangalore,Corporate,Mobile,2023-06-12 00:00:00,No,Low,37462,84,9.9,1.72159,14346.583333333334,-23115.416666666664,1.0
55,100939,20,161728,161728,481,2,pune,Retail,Branch,2021-02-25 00:00:00,Yes,High,47965,14,1.3,1.61728,13477.333333333334,-34487.666666666664,1.0
56,101002,44,139999,139999,341,12,Delhi,Premium,Branch,2021-08-23 00:00:00,No,High,17262,35,7.3,1.39999,11666.583333333334,-5595.416666666666,1.0
